"year","total_deaths"
2000,"47"
2001,"99"
2002,"100"
2003,"261"
2004,"361"
2005,"509"
2006,"635"
2007,"788"
2008,"711"
2009,"331"
2010,"979"
2011,"597"
2019,"614"
2020,"665"
2021,"688"
